National Center for Education Statistics
"Number of full-time, first-time students receiving financial aid, by state and  type of aid: 2019-20"

Year,State,Any financial aid,"Grants or scholarships from the federal government, state/local government, or the institution",Federal grants,Pell grants,Other federal grants,State/local government grants or scholarships ,Institutional grants or scholarships ,Loans to students,Federal loans,Other loans
2015,Minnesota,"35,613","29,326","15,217","15,096","4,561","15,415","18,901","24,354","24,005","5,260"
2015,Mississippi,"28,328","27,343","18,332","18,084","4,752","7,615","15,162","12,850","12,716",649
2015,Missouri,"48,342","45,274","24,431","24,210","5,258","20,211","25,698","26,470","26,192","2,085"
2015,Montana,"7,349","6,535","3,253","3,219",848,"1,117","4,615","4,316","4,284",186
2015,Nebraska,"15,419","13,276","6,363","6,324","1,657","3,068","10,579","8,754","8,681",572
2015,Nevada,"14,077","12,730","8,487","8,454","1,131","5,843","4,445","7,914","7,821",520
2015,New Hampshire,"11,612","9,713","4,707","4,700","2,088","1,056","7,243","9,710","9,374","1,944"
2015,New Jersey,"56,052","47,282","35,848","35,607","9,265","17,909","19,577","33,672","32,905","4,592"
2015,New Mexico,"15,511","14,885","10,142","10,007","1,748","8,669","5,050","7,067","6,975",232
2015,New York,"172,350","157,527","100,687","99,006","25,721","96,790","81,944","90,793","89,160","10,162"
2015,North Carolina,"60,335","51,828","35,833","35,547","6,022","21,161","31,697","36,154","35,716","3,042"
2015,North Dakota,"7,592","5,844","2,352","2,345","1,611","2,468","3,919","4,982","4,838","1,427"
2015,Ohio,"90,690","80,543","43,190","42,740","10,651","14,584","54,799","62,368","61,889","5,957"
2015,Oklahoma,"32,143","29,507","17,833","17,455","3,497","8,623","17,788","15,404","15,314","1,156"
2015,Oregon,"21,188","18,388","10,657","10,607","2,421","4,645","11,834","13,596","13,472",995
2015,Pennsylvania,"110,437","92,919","51,733","51,179","17,669","35,642","58,879","85,531","84,325","13,571"
2015,Rhode Island,"13,102","11,749","5,292","5,256","2,116","2,886","9,438","9,788","9,680","1,341"
2015,South Carolina,"38,589","36,979","19,133","18,892","3,603","24,188","16,511","22,044","21,800","1,826"
2015,South Dakota,"7,353","5,870","2,838","2,780","1,150","1,504","4,375","5,586","5,539",952
2015,Tennessee,"56,444","53,735","32,934","32,451","6,390","34,688","20,081","24,597","24,290","1,430"
2015,Texas,"169,837","150,033","110,600","110,028","18,243","55,447","65,111","97,921","95,454","13,429"
2015,Utah,"20,380","17,645","9,362","9,246","1,650","2,249","11,959","9,150","9,042",934
2015,Vermont,"6,364","6,123","1,997","1,975","1,277","1,380","5,761","4,323","4,222",763
2015,Virginia,"53,650","44,588","27,498","27,114","6,606","19,934","24,852","33,076","32,549","3,194"
2015,Washington,"32,546","27,475","16,189","16,054","5,296","9,998","17,414","18,035","17,719","1,179"
2015,West Virginia,"16,346","14,665","9,054","8,883","2,124","7,000","8,333","10,137","10,045",857
2015,Wisconsin,"37,042","29,384","14,899","14,758","5,432","12,146","15,777","26,582","26,137","3,621"
2015,Wyoming,"3,906","3,570","1,388","1,359",377,"1,801","2,400","1,602","1,572",134
2014,Alabama,"39,005","35,245","22,341","22,147","3,697","2,680","20,747","19,757","19,294","1,458"
2014,Alaska,"3,391","3,001","1,960","1,941",703,"1,201","1,181","1,929","1,893",114
2014,Arizona,"60,411","54,070","39,808","39,673","6,564","1,499","26,711","39,948","39,712","2,659"
2014,Arkansas,"25,659","24,173","15,147","14,995","2,543","13,221","12,847","12,966","12,859",551
2014,California,"237,566","218,767","164,324","163,077","40,240","122,278","89,430","111,212","109,111","14,412"
2014,Colorado,"33,889","28,042","18,232","18,077","3,662","7,479","15,323","22,709","22,422","2,156"
2014,Connecticut,"27,750","24,810","14,386","14,316","3,426","4,082","16,007","17,845","17,633","2,812"
2014,Delaware,"8,810","7,954","4,137","4,128","1,023","2,198","3,777","5,358","5,264",838
2014,District of Columbia,"8,281","7,520","3,718","3,641",828,512,"5,781","5,907","5,873","1,101"
2014,Florida,"156,192","145,246","106,015","104,428","18,372","57,247","48,971","77,158","75,235","8,652"
2014,Georgia,"68,221","63,816","40,619","40,517","5,971","38,396","14,921","39,162","38,796","2,963"
2014,Hawaii,"6,046","5,372","3,443","3,441",496,329,"3,737","2,602","2,560",187
2014,Idaho,"10,505","9,598","5,764","5,753","1,131","4,251","5,235","6,736","6,408",700
2014,Illinois,"81,240","72,901","47,999","47,675","10,478","25,486","43,893","50,259","49,698","5,543"
2014,Indiana,"53,243","44,987","27,028","26,882","8,010","15,239","28,343","34,008","33,605","3,680"
2014,Iowa,"30,705","26,979","12,840","12,587","4,131","4,077","20,155","20,895","20,592","2,563"
2014,Kansas,"28,135","25,664","14,766","14,538","2,951","3,161","18,517","17,145","17,055",824
2014,Kentucky,"34,493","32,952","18,057","17,997","3,795","23,017","16,718","19,812","19,534","1,474"
2014,Louisiana,"39,468","37,302","23,711","23,316","3,318","18,968","13,059","22,462","22,318","1,411"
2014,Maine,"10,055","9,061","5,458","5,398","2,452","3,171","6,274","7,547","7,493","1,070"
2014,Maryland,"32,566","28,089","18,463","18,368","4,373","7,698","14,744","19,317","19,086","1,825"
2014,Massachusetts,"60,635","53,438","26,771","26,605","10,777","21,129","37,751","41,285","40,460","6,357"
2014,Michigan,"66,891","58,518","36,498","36,168","10,150","14,798","39,208","43,321","42,798","4,492"
2014,Minnesota,"36,950","30,281","16,498","16,403","4,959","15,675","18,859","25,791","25,328","5,430"
2014,Mississippi,"29,447","28,354","19,609","19,376","3,257","7,664","13,954","13,261","13,177",479
2014,Missouri,"48,841","45,801","25,348","25,119","4,872","20,160","25,621","27,342","27,145","2,126"
2014,Montana,"7,227","6,547","3,338","3,302",890,"1,275","4,636","4,255","4,226",202
2014,Nebraska,"15,474","13,137","6,563","6,533","1,725","3,141","10,366","9,206","9,141",511
2014,Nevada,"13,522","12,269","8,367","8,287","1,382","5,693","4,480","8,162","8,090",490
2014,New Hampshire,"11,082","9,119","4,494","4,482","2,130","1,525","7,109","9,510","9,166","1,926"
2014,New Jersey,"58,489","49,869","39,066","38,835","7,775","18,039","18,010","35,455","34,879","7,321"
2014,New Mexico,"17,637","16,839","11,368","11,294","1,841","8,925","5,694","7,122","7,061",226
2014,New York,"171,200","155,850","101,751","100,500","25,147","92,045","80,030","92,634","91,300","9,711"
2014,North Carolina,"61,469","53,371","37,618","37,050","6,389","21,689","30,533","37,473","37,061","2,817"
2014,North Dakota,"7,611","5,800","2,511","2,473","1,566","2,533","3,738","5,084","4,910","1,387"
2014,Ohio,"93,978","82,716","47,157","46,780","12,071","15,069","54,058","67,523","67,066","6,338"
2014,Oklahoma,"32,209","29,673","18,705","18,214","3,634","8,870","17,377","15,682","15,577",968
2014,Oregon,"22,143","18,844","11,857","11,764","2,354","4,680","11,166","14,750","14,642","1,057"
2014,Pennsylvania,"111,717","93,505","52,346","51,746","17,571","35,353","57,639","85,700","84,531","13,582"
2014,Rhode Island,"12,789","11,498","5,163","5,106","2,132","2,901","9,200","9,519","9,423","1,273"
2014,South Carolina,"37,756","36,172","19,824","19,614","3,660","23,315","15,369","21,537","21,168","1,915"
2014,South Dakota,"7,769","6,236","3,167","3,099","1,447","1,547","4,431","5,834","5,772",964
2014,Tennessee,"56,353","53,752","33,581","33,169","7,070","34,246","19,785","25,289","24,962","1,314"
2014,Texas,"169,740","150,564","112,724","112,166","18,057","58,319","62,281","98,276","96,129","12,544"
2014,Utah,"21,126","18,081","10,631","10,428","2,233","1,884","11,082","9,281","9,153","1,678"
2014,Vermont,"6,329","6,043","1,976","1,942","1,123","1,381","5,568","4,329","4,250",887
2014,Virginia,"54,710","45,593","28,690","28,321","5,827","19,412","24,327","33,087","32,546","3,675"
2014,Washington,"32,460","27,026","16,541","16,445","5,340","9,887","16,755","18,487","18,260","1,568"
2014,West Virginia,"17,124","15,350","9,546","9,339","2,117","7,501","8,167","10,732","10,589",905
2014,Wisconsin,"39,039","30,931","16,877","16,729","5,912","12,788","15,409","28,636","28,356","3,660"
2014,Wyoming,"4,730","4,183","1,914","1,855",803,"1,820","2,453","2,169","2,072",669
2013,Alabama,"39,324","35,469","23,570","23,329","4,339","2,560","19,390","20,436","20,079","1,484"
2013,Alaska,"2,713","2,454","1,338","1,322",184,"1,245","1,129","1,314","1,290",55
2013,Arizona,"65,741","58,353","45,255","44,727","8,366","1,573","25,525","45,110","44,669","2,722"
2013,Arkansas,"25,829","24,429","15,505","15,322","2,516","13,378","11,104","12,567","12,491",549
2013,California,"225,961","206,484","157,220","155,037","41,458","107,612","85,425","115,483","114,192","19,032"
2013,Colorado,"34,725","27,948","18,935","18,627","3,558","8,830","14,353","23,592","23,312","2,027"
2013,Connecticut,"27,257","24,024","14,500","14,412","3,719","4,569","14,076","17,817","17,561","2,168"
2013,Delaware,"9,587","8,448","4,596","4,589",973,"2,277","3,747","5,837","5,798",552
2013,District of Columbia,"7,691","6,764","2,919","2,866",810,652,"5,512","5,342","5,250","1,074"
2013,Florida,"165,778","149,401","110,186","109,204","20,050","59,265","48,040","93,911","92,040","7,352"
2013,Georgia,"69,642","64,360","41,903","41,770","6,986","37,382","14,059","41,528","41,185","3,122"
2013,Hawaii,"6,017","5,342","3,529","3,520",592,269,"3,351","2,572","2,543",222
2013,Idaho,"11,520","10,639","6,439","6,409","1,296","4,443","5,748","7,096","7,037",407
2013,Illinois,"82,941","73,287","49,962","49,447","9,866","25,211","41,502","52,440","51,819","5,477"
2013,Indiana,"52,012","43,607","26,322","26,166","7,583","14,487","26,946","34,447","34,105","3,680"
2013,Iowa,"33,553","29,210","15,796","15,510","4,134","4,021","19,573","24,573","24,386","2,428"
2013,Kansas,"26,410","23,973","13,843","13,649","3,076","3,012","15,706","16,203","16,101",823
2013,Kentucky,"35,474","33,957","19,143","19,053","4,174","23,126","16,402","20,917","20,690","1,282"
2013,Louisiana,"39,179","36,574","23,105","22,817","3,469","19,546","12,905","21,712","21,574","1,204"
2013,Maine,"9,855","8,716","5,383","5,316","2,224","3,431","5,658","7,324","7,245","1,013"
2013,Maryland,"32,237","27,612","18,300","18,053","4,091","6,024","14,098","19,582","19,295","2,148"
2013,Massachusetts,"62,591","55,466","28,225","28,079","10,888","20,463","37,765","43,593","42,865","6,669"
2013,Michigan,"68,844","59,798","38,660","38,350","10,562","14,080","38,017","47,144","46,542","5,447"
2013,Minnesota,"37,796","30,632","17,178","17,034","4,982","16,205","18,210","27,186","26,712","5,619"
2013,Mississippi,"29,550","28,654","20,124","19,912","3,171","7,128","14,136","13,840","13,753",459
2013,Missouri,"51,020","47,734","27,157","27,028","5,540","20,301","26,390","30,041","29,820","1,730"
2013,Montana,"7,261","6,591","3,428","3,392",805,"1,257","4,681","4,400","4,375",163
2013,Nebraska,"14,739","12,429","6,389","6,326","1,726","2,873","9,687","9,315","9,246",532
2013,Nevada,"12,993","11,750","8,044","7,824",996,"5,327","4,248","7,577","7,528",427
2013,New Hampshire,"11,160","8,870","4,430","4,420","2,385",941,"6,728","9,567","9,269","1,855"
2013,New Jersey,"59,128","50,100","39,386","39,123","8,819","17,211","17,444","36,601","36,168","7,306"
2013,New Mexico,"18,485","17,378","11,978","11,764","2,306","9,588","5,215","8,069","7,971",198
2013,New York,"168,621","154,308","102,827","100,869","25,939","86,693","77,561","95,501","94,067","9,235"
2013,North Carolina,"61,173","52,713","37,176","36,690","6,452","22,266","29,971","37,990","37,445","2,911"
2013,North Dakota,"7,965","6,176","2,714","2,669","1,407","2,514","4,117","5,481","5,336","1,346"
2013,Ohio,"96,069","84,645","50,230","49,848","11,924","16,188","53,092","70,945","70,408","6,486"
2013,Oklahoma,"32,972","30,255","19,738","19,386","3,852","9,144","17,341","17,098","16,969","1,157"
2013,Oregon,"22,901","19,485","12,616","12,524","2,820","4,435","11,028","16,256","16,159","1,033"
2013,Pennsylvania,"114,668","94,738","55,130","54,453","18,900","35,535","55,070","89,933","88,834","14,509"
2013,Rhode Island,"12,600","11,133","5,214","5,068","1,967","3,110","8,664","9,466","9,402","1,154"
2013,South Carolina,"39,427","37,776","20,838","20,605","4,527","24,058","16,052","22,355","22,055","1,885"
2013,South Dakota,"7,900","6,281","3,311","3,224","1,499","1,447","4,396","5,908","5,870",873
2013,Tennessee,"57,443","54,762","35,275","34,593","7,091","33,578","19,649","27,923","27,643","1,280"
2013,Texas,"166,421","148,376","110,576","109,700","18,443","52,574","61,698","97,826","96,257","11,940"
2013,Utah,"21,633","18,336","10,569","10,433","1,303","2,129","10,553","9,898","9,744",808
2013,Vermont,"6,677","6,208","2,197","2,131","1,375","1,501","5,657","4,738","4,652",792
2013,Virginia,"53,755","44,279","27,655","27,362","6,819","19,316","24,280","33,361","32,843","3,458"
2013,Washington,"32,080","26,609","16,806","16,460","5,331","9,864","15,595","18,890","18,581","1,552"
2013,West Virginia,"17,570","15,700","9,868","9,735","2,147","7,157","8,224","11,169","11,069",904
2013,Wisconsin,"39,736","31,669","17,616","17,316","6,076","13,116","15,411","29,682","29,443","3,591"
2013,Wyoming,"5,096","4,522","2,206","2,151",949,"2,481","1,945","2,598","2,337",972
2012,Alabama,"40,060","36,294","24,677","23,999","4,333","3,906","19,189","20,261","19,778","1,121"
2012,Alaska,"3,115","2,717","1,789","1,764",430,"1,008",987,"1,862","1,829",72
2012,Arizona,"74,584","66,039","53,947","53,722","7,859","1,732","22,744","53,587","53,434","2,319"
2012,Arkansas,"26,666","25,330","16,588","16,367","2,540","12,620","10,877","14,089","13,973",469
2012,California,"246,238","225,509","180,122","178,321","49,245","104,258","77,052","139,848","138,779","20,071"
2012,Colorado,"36,829","30,029","20,750","20,536","4,198","9,754","14,713","26,252","26,043","1,600"
2012,Connecticut,"27,942","24,426","15,052","14,906","3,702","5,262","13,948","18,837","18,636","1,992"
2012,Delaware,"10,331","9,059","5,210","5,182","1,065","1,994","3,774","6,649","6,589",460
2012,District of Columbia,"7,749","7,087","3,296","3,239",772,543,"5,647","5,421","5,258",657
2012,Florida,"175,757","161,268","120,261","118,664","23,104","66,239","45,964","99,332","96,837","12,005"
2012,Georgia,"72,249","66,904","46,957","46,710","7,029","35,305","14,005","44,771","44,516","2,560"
2012,Hawaii,"6,107","5,403","3,615","3,550",673,423,"3,618","2,801","2,775",131
2012,Idaho,"11,599","10,548","6,943","6,863","1,113","4,446","4,845","7,731","7,710",183
2012,Illinois,"85,889","75,710","53,152","52,617","9,770","26,817","38,930","54,374","53,986","5,552"
2012,Indiana,"54,520","45,596","29,376","29,224","8,280","16,086","26,268","38,168","37,958","3,591"
2012,Iowa,"35,009","30,138","17,363","16,945","4,287","3,895","19,318","26,122","25,945","2,512"
2012,Kansas,"26,046","23,498","14,166","13,900","3,252","3,057","15,577","16,262","16,175",652
2012,Kentucky,"35,283","33,638","19,690","19,479","4,616","22,932","15,256","22,267","22,039","1,168"
2012,Louisiana,"40,070","37,265","24,322","24,001","4,308","20,147","12,588","21,865","21,817","1,340"
2012,Maine,"10,182","8,887","6,131","5,730","2,776","3,325","5,554","7,845","7,796",925
2012,Maryland,"35,086","30,518","21,092","20,746","4,887","6,182","14,160","22,328","22,035","2,079"
2012,Massachusetts,"63,748","55,191","29,289","28,966","12,280","20,597","37,493","44,803","43,909","5,952"
2012,Michigan,"71,283","62,364","41,656","41,295","11,616","13,430","38,263","50,062","49,623","5,712"
2012,Minnesota,"39,319","31,831","18,270","18,089","5,141","17,023","18,218","28,915","28,602","6,016"
2012,Mississippi,"29,559","28,462","20,470","20,246","3,374","5,980","13,636","13,327","13,258",327
2012,Missouri,"52,242","48,884","29,151","28,920","5,557","20,105","25,474","31,923","31,673","1,895"
2012,Montana,"7,433","6,655","3,758","3,730",730,"1,490","4,417","4,675","4,647",157
2012,Nebraska,"14,848","12,504","6,545","6,510","1,462","2,680","9,176","9,661","9,604",425
2012,Nevada,"13,157","11,744","8,306","8,275","1,453","4,634","3,932","9,313","9,274",392
2012,New Hampshire,"10,953","8,280","4,145","4,124","2,277",922,"6,376","9,489","9,340","1,446"
2012,New Jersey,"62,769","53,152","43,055","42,528","8,753","18,625","17,077","40,634","39,981","8,931"
2012,New Mexico,"18,908","17,786","12,695","12,539","2,044","9,441","5,258","9,398","9,317",187
2012,New York,"178,635","163,958","112,478","109,716","28,595","91,657","77,345","106,570","105,232","9,809"
2012,North Carolina,"61,851","53,615","38,452","37,805","7,223","23,841","29,320","38,345","37,571","3,116"
2012,North Dakota,"8,038","6,206","2,913","2,892","1,306","2,452","3,934","5,650","5,562","1,209"
2012,Ohio,"100,258","88,377","55,569","54,984","13,367","17,500","52,065","75,639","75,147","6,256"
2012,Oklahoma,"34,888","31,521","21,285","20,786","3,784","8,756","16,349","18,855","18,738",680
2012,Oregon,"23,806","20,459","13,573","13,460","2,498","4,293","11,458","17,029","16,942",905
2012,Pennsylvania,"119,087","97,785","58,781","58,035","19,958","37,715","54,734","95,042","94,077","12,868"
2012,Rhode Island,"12,976","11,533","5,482","5,331","2,252","2,972","9,007","9,952","9,824","1,712"
2012,South Carolina,"39,737","38,529","22,135","21,748","4,913","23,723","15,362","23,447","22,870","1,817"
2012,South Dakota,"7,834","6,309","3,607","3,521","1,436","1,566","4,022","6,220","6,192",771
2012,Tennessee,"59,964","57,302","38,006","37,410","7,957","35,053","19,305","28,557","28,400",943
2012,Texas,"172,624","153,617","120,394","119,487","21,384","49,718","59,232","105,502","103,536","13,605"
2012,Utah,"22,226","19,099","11,268","11,227","1,458","1,862","10,433","10,657","10,516",449
2012,Vermont,"6,538","6,047","2,196","2,154","1,454","1,661","5,501","4,951","4,886",836
2012,Virginia,"55,217","45,067","28,988","28,539","6,990","18,194","24,387","34,391","34,010","2,699"
2012,Washington,"32,682","26,683","17,022","16,878","5,533","9,455","15,180","19,746","19,539","1,614"
2012,West Virginia,"17,669","15,690","10,318","10,043","2,239","7,404","8,064","11,346","11,254",757
2012,Wisconsin,"41,494","32,647","19,041","18,861","6,481","12,861","15,121","31,441","31,097","3,781"
2012,Wyoming,"4,824","4,216","2,168","2,115",954,"2,222","1,750","2,408","2,382",627
2011,Alabama,"41,386","37,661","26,529","25,952","7,476","4,391","18,611","20,724","20,022","2,803"
2011,Alaska,"3,194","2,329","1,842","1,823",330,180,790,"1,673","1,633",195
2011,Arizona,"63,875","55,414","44,409","44,133","11,518","1,851","20,715","43,816","43,630","1,919"
2011,Arkansas,"26,648","25,374","16,722","16,523","6,450","12,927","10,470","12,947","12,891",350
2011,California,"256,150","233,466","188,654","184,446","87,330","104,760","75,458","147,225","145,873","16,175"
2011,Colorado,"38,920","31,424","22,941","22,469","7,686","10,773","13,942","28,308","27,960","1,715"
2011,Connecticut,"30,014","25,869","16,601","16,175","6,967","6,414","14,051","20,628","20,483","1,855"
2011,Delaware,"9,251","7,997","5,082","5,000","1,807","1,910","2,793","6,183","6,102",397
2011,District of Columbia,"7,865","7,224","3,148","3,005","1,619",602,"5,877","5,344","5,300",403
2011,Florida,"174,276","162,958","120,275","117,765","44,223","68,255","43,754","98,690","94,690","11,491"
2011,Georgia,"81,746","76,074","52,020","51,677","18,881","43,573","14,275","44,128","43,806","4,196"
2011,Hawaii,"5,869","5,248","3,778","3,684","1,046",346,"3,091","2,758","2,729",84
2011,Idaho,"11,205","10,228","6,913","6,834","2,979","4,199","4,369","7,331","7,310",196
2011,Illinois,"88,365","76,832","55,916","55,309","22,742","26,501","37,916","57,338","56,905","6,272"
2011,Indiana,"61,308","50,750","34,663","34,154","18,397","17,700","26,535","44,098","43,817","3,990"
2011,Iowa,"36,039","30,857","18,579","18,146","7,776","4,110","18,908","27,027","26,851","2,307"
2011,Kansas,"26,921","24,269","15,063","14,804","5,216","3,126","15,683","17,168","17,098",554
2011,Kentucky,"37,475","35,031","21,522","21,327","9,517","23,304","14,049","22,269","21,958","1,129"
2011,Louisiana,"41,417","38,400","25,423","24,925","10,234","20,239","12,962","21,890","21,751","1,572"
2011,Maine,"10,298","8,767","6,165","5,756","3,811","3,498","5,557","8,050","8,000",962
2011,Maryland,"36,740","31,603","22,264","21,946","9,532","7,491","13,692","24,204","24,021","2,045"
2011,Massachusetts,"66,705","57,687","31,701","31,413","18,045","21,778","37,291","48,029","47,363","6,290"
2011,Michigan,"77,287","66,672","46,911","46,278","19,155","14,671","37,935","53,586","53,247","6,785"
2011,Minnesota,"43,274","35,764","20,540","20,293","10,332","19,042","18,677","31,219","30,780","6,664"
2011,Mississippi,"30,646","29,593","21,925","21,604","7,800","6,873","13,581","13,791","13,711",245
2011,Missouri,"54,771","50,412","31,156","30,634","13,011","19,539","24,574","32,898","32,742","2,610"
2011,Montana,"7,623","6,624","3,894","3,890","1,457","1,315","3,799","4,966","4,924",189
2011,Nebraska,"14,864","12,772","7,103","6,791","3,681","2,834","8,514","9,494","9,430",477
2011,Nevada,"14,208","12,682","9,070","9,027","2,574","4,987","4,610","9,579","9,546",725
2011,New Hampshire,"11,722","8,772","4,751","4,690","2,981","2,055","6,411","10,089","9,930","1,397"
2011,New Jersey,"67,909","57,944","46,301","45,491","14,676","18,732","17,240","44,363","43,869","9,609"
2011,New Mexico,"20,256","18,542","13,527","13,364","2,795","10,309","6,231","9,351","9,065",535
2011,New York,"181,829","166,919","113,891","111,118","51,172","92,775","69,386","109,510","108,042","8,854"
2011,North Carolina,"62,066","55,100","39,363","38,372","18,838","27,593","27,730","37,040","36,315","2,853"
2011,North Dakota,"8,139","6,578","3,167","3,144","1,853","2,778","4,270","5,610","5,529","1,222"
2011,Ohio,"109,548","95,752","64,229","63,341","28,660","18,122","52,089","81,683","81,055","6,642"
2011,Oklahoma,"36,408","32,935","22,761","22,235","7,646","9,404","15,762","19,645","19,524",967
2011,Oregon,"25,626","21,481","14,804","14,677","4,984","2,201","11,160","18,922","18,771","1,218"
2011,Pennsylvania,"123,043","101,336","63,063","61,658","33,371","38,408","54,556","98,107","97,211","11,801"
2011,Rhode Island,"13,925","12,014","6,426","6,381","3,797","3,425","8,374","10,561","10,470","1,110"
2011,South Carolina,"39,856","38,149","22,516","22,201","12,173","23,351","14,031","22,919","22,762","1,391"
2011,South Dakota,"8,210","6,759","4,193","4,081","2,311","1,603","3,910","6,482","6,447",744
2011,Tennessee,"63,211","60,240","40,900","40,268","16,694","34,697","19,377","30,906","30,417","1,850"
2011,Texas,"181,499","160,672","128,034","126,386","57,859","51,712","58,615","112,077","108,784","17,353"
2011,Utah,"22,726","19,283","11,637","11,457","3,118","3,253","9,367","10,602","10,395",537
2011,Vermont,"6,734","6,226","2,338","2,293","1,874","1,718","5,549","5,063","4,972",673
2011,Virginia,"54,619","45,264","30,696","28,185","14,525","17,598","22,637","33,871","33,495","3,132"
2011,Washington,"32,735","26,560","17,286","17,101","7,726","9,874","14,880","19,868","19,729","1,516"
2011,West Virginia,"18,457","16,547","11,165","10,987","4,255","8,509","7,816","11,788","11,722",720
2011,Wisconsin,"43,978","34,698","21,235","20,882","12,121","13,368","15,705","34,151","33,941","3,861"
2011,Wyoming,"5,353","4,590","2,601","2,467",862,"2,088","1,732","2,782","2,744",838
2010,Alabama,"42,138","37,609","25,826","25,293","6,553","3,480","19,079","20,336","19,595","3,081"
2010,Alaska,"2,802","1,904","1,372","1,355",392,161,675,"1,609","1,496",264
2010,Arizona,"142,403","123,691","109,272","106,663","13,165","2,009","42,728","120,653","120,447","3,099"
2010,Arkansas,"25,366","23,032","16,166","15,733","5,847","5,946","10,784","13,463","12,981",869
2010,California,"278,109","245,700","196,646","193,032","86,952","100,062","68,266","162,162","160,442","18,159"
2010,Colorado,"43,282","35,558","24,481","23,783","7,906","10,597","16,613","31,245","30,522","2,676"
2010,Connecticut,"29,918","25,345","15,526","15,131","6,918","5,448","13,727","20,603","20,311","1,980"
2010,Delaware,"9,257","7,584","4,449","4,335","1,376","2,124","2,868","6,307","6,227",387
2010,District of Columbia,"7,724","6,630","2,589","2,517","1,511",566,"5,641","5,441","5,397",405
2010,Florida,"203,064","183,521","137,954","135,449","44,801","68,527","42,476","123,234","118,408","16,239"
2010,Georgia,"83,436","76,562","50,669","50,133","18,773","43,194","13,686","45,619","45,027","5,295"
2010,Hawaii,"5,072","4,368","3,002","2,933",948,432,"2,319","2,269","2,247",75
2010,Idaho,"11,166","10,359","5,882","5,704","2,207","3,275","6,508","6,553","6,536",190
2010,Illinois,"92,603","78,050","56,338","54,799","23,170","26,039","36,143","62,050","61,566","6,831"
2010,Indiana,"61,647","48,721","31,436","30,650","15,754","16,576","26,159","43,213","42,899","3,990"
2010,Iowa,"36,275","30,687","17,887","17,309","7,795","4,865","18,613","27,588","27,416","2,537"
2010,Kansas,"25,922","23,169","13,607","13,021","5,069","3,400","15,052","16,664","15,889","1,262"
2010,Kentucky,"38,202","35,787","20,670","20,475","9,313","23,781","14,487","22,151","21,970","1,223"
2010,Louisiana,"40,364","36,714","23,588","22,763","9,607","18,306","12,361","21,686","21,562","1,822"
2010,Maine,"10,307","8,366","5,855","5,439","3,647","3,393","5,115","8,061","8,030","1,012"
2010,Maryland,"37,176","31,837","21,488","20,987","8,786","7,841","14,307","23,869","23,543","1,873"
2010,Massachusetts,"69,898","60,166","32,928","32,312","17,591","21,649","38,581","50,342","49,561","6,132"
2010,Michigan,"82,310","72,057","48,459","47,617","18,813","16,549","41,752","56,064","55,577","6,563"
2010,Minnesota,"45,985","37,670","20,638","20,234","9,583","23,089","18,410","32,544","31,902","7,204"
2010,Mississippi,"29,025","27,478","19,902","19,637","6,411","6,535","12,254","12,815","12,751",252
2010,Missouri,"57,229","52,951","32,534","32,019","12,837","18,824","25,560","35,576","34,890","3,653"
2010,Montana,"7,015","5,618","3,277","3,197","1,269","1,451","3,400","4,337","4,297",172
2010,Nebraska,"15,411","13,430","7,794","7,265","3,782","3,609","8,736","10,604","10,532",617
2010,Nevada,"16,360","14,555","10,569","10,415","2,409","5,254","3,588","10,459","10,385",883
2010,New Hampshire,"11,785","8,755","4,600","4,524","2,699","2,000","6,227","10,167","9,823","1,533"
2010,New Jersey,"63,534","54,798","41,126","39,899","13,139","20,194","15,885","42,032","41,442","5,822"
2010,New Mexico,"20,375","18,780","13,470","13,141","3,323","9,737","5,567","9,368","9,335",195
2010,New York,"185,283","169,944","110,267","106,988","51,424","99,518","65,761","112,568","110,560","9,605"
2010,North Carolina,"61,335","52,292","35,994","34,810","17,869","29,433","25,332","36,051","35,090","3,658"
2010,North Dakota,"7,847","5,908","2,802","2,780","1,728","1,945","3,822","5,542","5,458","1,335"
2010,Ohio,"110,897","94,675","60,855","59,678","26,027","17,699","53,137","81,338","80,813","7,125"
2010,Oklahoma,"38,218","34,318","23,543","22,637","7,841","9,952","14,134","20,825","19,864","1,537"
2010,Oregon,"26,877","22,145","15,404","14,756","5,049","6,479","10,738","19,089","18,734","1,868"
2010,Pennsylvania,"129,787","104,997","64,530","62,552","33,087","39,398","54,143","103,497","102,495","12,555"
2010,Rhode Island,"14,843","12,842","7,154","7,026","4,008","3,903","8,286","10,675","10,599","1,024"
2010,South Carolina,"39,518","37,640","20,597","20,250","9,770","23,113","13,530","21,710","21,543","1,417"
2010,South Dakota,"7,989","6,447","3,908","3,636","2,276","1,394","3,924","6,233","6,203",743
2010,Tennessee,"67,153","63,552","42,752","41,276","16,089","34,176","20,438","33,229","32,956","2,698"
2010,Texas,"187,599","165,203","131,188","129,034","56,774","48,299","57,434","121,594","119,573","13,854"
2010,Utah,"22,393","18,919","11,269","11,077","2,890","2,948","8,989","10,798","10,700",775
2010,Vermont,"6,683","6,017","2,163","2,060","1,756","1,682","5,359","4,845","4,809",504
2010,Virginia,"59,807","49,044","32,955","30,992","15,714","18,333","23,510","39,096","37,903","4,440"
2010,Washington,"34,811","28,185","19,043","18,627","8,133","9,689","13,181","22,803","22,675","2,086"
2010,West Virginia,"18,104","16,063","10,674","10,407","3,817","7,192","7,513","12,083","12,035",544
