National Center for Education Statistics
"Number of students enrolled in postsecondary institutions annually, by state and  student level: 2020-21"

Year,State,Total,Undergraduate,Graduate
2010,North Carolina,"754,519","670,876","83,643"
2010,North Dakota,"68,226","58,845","9,381"
2010,Ohio,"994,767","867,711","127,056"
2010,Oklahoma,"320,244","287,604","32,640"
2010,Oregon,"368,964","323,861","45,103"
2010,Pennsylvania,"1,042,989","864,576","178,413"
2010,Rhode Island,"108,419","94,385","14,034"
2010,South Carolina,"328,688","290,255","38,433"
2010,South Dakota,"70,717","60,619","10,098"
2010,Tennessee,"454,374","395,936","58,438"
2010,Texas,"2,088,434","1,877,645","210,789"
2010,Utah,"333,924","306,098","27,826"
2010,Vermont,"60,872","48,432","12,440"
2010,Virginia,"761,470","641,323","120,147"
2010,Washington,"572,125","527,478","44,647"
2010,West Virginia,"214,381","177,356","37,025"
2010,Wisconsin,"501,870","433,751","68,119"
2010,Wyoming,"53,200","49,823","3,377"
2009,Total,"27,253,481","23,563,892","3,689,589"
2009,Alabama,"400,252","343,523","56,729"
2009,Alaska,"54,322","50,628","3,694"
2009,Arizona,"1,094,710","936,194","158,516"
2009,Arkansas,"214,260","192,724","21,536"
2009,California,"3,993,124","3,662,805","330,319"
2009,Colorado,"467,184","391,598","75,586"
2009,Connecticut,"256,017","212,043","43,974"
2009,Delaware,"69,444","57,201","12,243"
2009,District of Columbia,"172,703","108,927","63,776"
2009,Florida,"1,483,995","1,323,062","160,933"
2009,Georgia,"671,206","591,378","79,828"
2009,Hawaii,"93,410","81,499","11,911"
2009,Idaho,"118,111","103,287","14,824"
2009,Illinois,"1,365,451","1,161,535","203,916"
2009,Indiana,"558,005","478,650","79,355"
2009,Iowa,"471,353","416,046","55,307"
2009,Kansas,"297,580","256,677","40,903"
2009,Kentucky,"337,942","298,216","39,726"
2009,Louisiana,"325,761","286,266","39,495"
2009,Maine,"91,135","80,150","10,985"
2009,Maryland,"467,245","380,601","86,644"
2009,Massachusetts,"633,794","463,175","170,619"
2009,Michigan,"905,005","785,733","119,272"
2009,Minnesota,"567,405","418,705","148,700"
2009,Mississippi,"211,160","187,323","23,837"
2009,Missouri,"555,364","452,687","102,677"
2009,Montana,"63,465","57,098","6,367"
2009,Nebraska,"201,016","170,963","30,053"
2009,Nevada,"172,942","156,060","16,882"
2009,New Hampshire,"96,699","79,011","17,688"
2009,New Jersey,"564,968","489,094","75,874"
2009,New Mexico,"202,854","182,797","20,057"
2009,New York,"1,636,062","1,338,317","297,745"
2009,North Carolina,"702,411","622,885","79,526"
2009,North Dakota,"64,097","55,159","8,938"
2009,Ohio,"921,475","792,802","128,673"
2009,Oklahoma,"300,872","268,508","32,364"
2009,Oregon,"347,808","303,865","43,943"
2009,Pennsylvania,"974,360","803,459","170,901"
2009,Rhode Island,"106,904","92,738","14,166"
2009,South Carolina,"302,557","265,191","37,366"
2009,South Dakota,"66,671","56,898","9,773"
2009,Tennessee,"415,086","360,620","54,466"
2009,Texas,"1,925,498","1,728,701","196,797"
2009,Utah,"308,936","282,385","26,551"
2009,Vermont,"57,607","46,927","10,680"
2009,Virginia,"683,934","574,920","109,014"
2009,Washington,"547,383","505,516","41,867"
2009,West Virginia,"184,326","152,061","32,265"
2009,Wisconsin,"473,834","407,540","66,294"
2009,Wyoming,"55,778","49,744","6,034"
2008,Total,"25,886,779","22,303,562","3,583,217"
2008,Alabama,"371,246","315,898","55,348"
2008,Alaska,"54,722","51,292","3,430"
2008,Arizona,"1,037,613","896,401","141,212"
2008,Arkansas,"203,279","183,182","20,097"
2008,California,"3,690,726","3,361,469","329,257"
2008,Colorado,"461,450","389,432","72,018"
2008,Connecticut,"245,752","202,065","43,687"
2008,Delaware,"67,698","56,001","11,697"
2008,District of Columbia,"159,789","99,445","60,344"
2008,Florida,"1,391,611","1,236,815","154,796"
2008,Georgia,"630,254","554,965","75,289"
2008,Hawaii,"90,649","78,974","11,675"
2008,Idaho,"114,421","100,519","13,902"
2008,Illinois,"1,325,842","1,127,341","198,501"
2008,Indiana,"526,513","446,934","79,579"
2008,Iowa,"388,157","337,817","50,340"
2008,Kansas,"288,012","247,369","40,643"
2008,Kentucky,"332,104","292,932","39,172"
2008,Louisiana,"313,086","274,953","38,133"
2008,Maine,"89,101","78,090","11,011"
2008,Maryland,"444,403","360,536","83,867"
2008,Massachusetts,"615,031","447,249","167,782"
2008,Michigan,"881,616","760,487","121,129"
2008,Minnesota,"531,599","397,707","133,892"
2008,Mississippi,"203,133","180,226","22,907"
2008,Missouri,"535,542","433,402","102,140"
2008,Montana,"60,920","54,883","6,037"
2008,Nebraska,"199,248","169,752","29,496"
2008,Nevada,"169,087","151,947","17,140"
2008,New Hampshire,"93,835","76,838","16,997"
2008,New Jersey,"544,244","468,474","75,770"
2008,New Mexico,"192,359","171,785","20,574"
2008,New York,"1,579,206","1,289,595","289,611"
2008,North Carolina,"652,542","574,977","77,565"
2008,North Dakota,"61,252","53,479","7,773"
2008,Ohio,"876,692","749,464","127,228"
2008,Oklahoma,"294,516","263,281","31,235"
2008,Oregon,"324,469","281,606","42,863"
2008,Pennsylvania,"952,340","784,809","167,531"
2008,Rhode Island,"105,894","91,874","14,020"
2008,South Carolina,"290,090","250,485","39,605"
2008,South Dakota,"65,041","55,270","9,771"
2008,Tennessee,"398,130","345,314","52,816"
2008,Texas,"1,827,318","1,637,084","190,234"
2008,Utah,"292,184","265,587","26,597"
2008,Vermont,"56,349","45,443","10,906"
2008,Virginia,"649,580","544,225","105,355"
2008,Washington,"530,235","489,232","41,003"
2008,West Virginia,"163,058","134,797","28,261"
2008,Wisconsin,"462,731","395,676","67,055"
2008,Wyoming,"52,110","46,184","5,926"
2007,Total,"25,043,867","21,568,775","3,475,092"
2007,Alabama,"342,668","291,612","51,056"
2007,Alaska,"53,577","50,116","3,461"
2007,Arizona,"886,219","768,216","118,003"
2007,Arkansas,"197,516","177,854","19,662"
2007,California,"3,539,767","3,227,648","312,119"
2007,Colorado,"453,213","372,624","80,589"
2007,Connecticut,"241,048","197,691","43,357"
2007,Delaware,"65,762","54,618","11,144"
2007,District of Columbia,"145,790","90,368","55,422"
2007,Florida,"1,345,260","1,195,838","149,422"
2007,Georgia,"607,820","536,374","71,446"
2007,Hawaii,"89,155","77,558","11,597"
2007,Idaho,"111,281","96,409","14,872"
2007,Illinois,"1,321,986","1,124,724","197,262"
2007,Indiana,"511,598","430,503","81,095"
2007,Iowa,"354,151","308,786","45,365"
2007,Kansas,"283,926","247,392","36,534"
2007,Kentucky,"317,794","278,955","38,839"
2007,Louisiana,"304,651","267,049","37,602"
2007,Maine,"91,547","78,087","13,460"
2007,Maryland,"431,133","350,143","80,990"
2007,Massachusetts,"599,698","437,457","162,241"
2007,Michigan,"889,658","768,828","120,830"
2007,Minnesota,"504,399","382,729","121,670"
2007,Mississippi,"197,723","175,324","22,399"
2007,Missouri,"521,016","423,219","97,797"
2007,Montana,"61,819","55,592","6,227"
2007,Nebraska,"192,993","164,682","28,311"
2007,Nevada,"162,226","146,451","15,775"
2007,New Hampshire,"93,959","76,643","17,316"
2007,New Jersey,"529,310","455,955","73,355"
2007,New Mexico,"188,079","167,081","20,998"
2007,New York,"1,531,475","1,238,794","292,681"
2007,North Carolina,"629,099","555,229","73,870"
2007,North Dakota,"60,819","53,416","7,403"
2007,Ohio,"854,010","728,917","125,093"
2007,Oklahoma,"292,525","261,295","31,230"
2007,Oregon,"312,183","269,590","42,593"
2007,Pennsylvania,"937,601","774,673","162,928"
2007,Rhode Island,"105,004","90,505","14,499"
2007,South Carolina,"276,734","237,548","39,186"
2007,South Dakota,"63,910","54,165","9,745"
2007,Tennessee,"390,776","340,165","50,611"
2007,Texas,"1,784,224","1,596,150","188,074"
2007,Utah,"298,984","273,488","25,496"
2007,Vermont,"54,302","44,487","9,815"
2007,Virginia,"623,177","523,766","99,411"
2007,Washington,"528,189","484,745","43,444"
2007,West Virginia,"157,126","130,103","27,023"
2007,Wisconsin,"456,214","390,306","65,908"
2007,Wyoming,"50,773","44,907","5,866"
2006,Total,"24,689,847","21,239,631","3,450,216"
2006,Alabama,"339,525","288,613","50,912"
2006,Alaska,"57,783","54,367","3,416"
2006,Arizona,"889,715","763,766","125,949"
2006,Arkansas,"193,395","174,281","19,114"
2006,California,"3,473,573","3,156,590","316,983"
2006,Colorado,"463,672","380,839","82,833"
2006,Connecticut,"238,278","194,688","43,590"
2006,Delaware,"65,500","54,475","11,025"
2006,District of Columbia,"139,143","86,604","52,539"
2006,Florida,"1,319,748","1,168,394","151,354"
2006,Georgia,"603,400","534,314","69,086"
2006,Hawaii,"91,654","79,639","12,015"
2006,Idaho,"111,859","95,764","16,095"
2006,Illinois,"1,316,311","1,121,617","194,694"
2006,Indiana,"494,593","414,102","80,491"
2006,Iowa,"315,549","273,144","42,405"
2006,Kansas,"286,700","247,904","38,796"
2006,Kentucky,"311,775","273,131","38,644"
2006,Louisiana,"293,648","258,982","34,666"
2006,Maine,"88,262","75,606","12,656"
2006,Maryland,"428,901","349,013","79,888"
2006,Massachusetts,"591,413","432,044","159,369"
2006,Michigan,"867,470","744,965","122,505"
2006,Minnesota,"482,515","372,725","109,790"
2006,Mississippi,"206,008","184,396","21,612"
2006,Missouri,"528,432","429,263","99,169"
2006,Montana,"62,806","56,700","6,106"
2006,Nebraska,"188,348","160,999","27,349"
2006,Nevada,"157,408","142,658","14,750"
2006,New Hampshire,"94,560","77,359","17,201"
2006,New Jersey,"517,445","442,585","74,860"
2006,New Mexico,"191,929","169,254","22,675"
2006,New York,"1,521,245","1,231,519","289,726"
2006,North Carolina,"626,109","551,818","74,291"
2006,North Dakota,"59,570","52,751","6,819"
2006,Ohio,"849,469","720,959","128,510"
2006,Oklahoma,"299,491","266,576","32,915"
2006,Oregon,"309,837","267,761","42,076"
2006,Pennsylvania,"918,475","757,857","160,618"
2006,Rhode Island,"103,596","88,930","14,666"
2006,South Carolina,"273,298","234,166","39,132"
2006,South Dakota,"64,322","54,691","9,631"
2006,Tennessee,"384,165","333,121","51,044"
2006,Texas,"1,760,732","1,573,607","187,125"
2006,Utah,"287,797","263,951","23,846"
2006,Vermont,"53,439","43,821","9,618"
2006,Virginia,"603,291","507,919","95,372"
2006,Washington,"536,514","494,314","42,200"
2006,West Virginia,"129,154","109,577","19,577"
2006,Wisconsin,"447,349","382,943","64,406"
2006,Wyoming,"50,676","44,569","6,107"
2005,Total,"24,475,143","21,058,691","3,416,452"
2005,Alabama,"352,322","301,150","51,172"
2005,Alaska,"55,260","51,929","3,331"
2005,Arizona,"834,890","712,970","121,920"
2005,Arkansas,"187,018","170,264","16,754"
2005,California,"3,447,244","3,125,376","321,868"
2005,Colorado,"451,154","369,791","81,363"
2005,Connecticut,"233,774","190,426","43,348"
2005,Delaware,"65,144","54,182","10,962"
2005,District of Columbia,"132,339","81,903","50,436"
2005,Florida,"1,319,024","1,174,918","144,106"
2005,Georgia,"588,378","519,761","68,617"
2005,Hawaii,"93,433","81,524","11,909"
2005,Idaho,"109,871","94,272","15,599"
2005,Illinois,"1,319,826","1,126,065","193,761"
2005,Indiana,"493,055","414,455","78,600"
2005,Iowa,"312,283","270,964","41,319"
2005,Kansas,"284,790","247,781","37,009"
2005,Kentucky,"307,266","268,544","38,722"
2005,Louisiana,"335,264","291,483","43,781"
2005,Maine,"90,250","74,782","15,468"
2005,Maryland,"427,819","347,973","79,846"
2005,Massachusetts,"582,665","426,604","156,061"
2005,Michigan,"865,215","739,445","125,770"
2005,Minnesota,"473,572","370,055","103,517"
2005,Mississippi,"209,016","186,456","22,560"
2005,Missouri,"509,785","410,306","99,479"
2005,Montana,"60,775","54,773","6,002"
2005,Nebraska,"180,159","153,998","26,161"
2005,Nevada,"155,242","140,644","14,598"
2005,New Hampshire,"93,792","76,752","17,040"
2005,New Jersey,"513,225","440,625","72,600"
2005,New Mexico,"191,716","168,995","22,721"
2005,New York,"1,505,931","1,220,506","285,425"
2005,North Carolina,"643,256","573,330","69,926"
2005,North Dakota,"63,191","52,606","10,585"
2005,Ohio,"833,044","707,442","125,602"
2005,Oklahoma,"295,071","261,507","33,564"
2005,Oregon,"301,872","263,632","38,240"
2005,Pennsylvania,"893,461","736,532","156,929"
2005,Rhode Island,"103,541","88,808","14,733"
2005,South Carolina,"271,049","232,718","38,331"
2005,South Dakota,"64,434","54,564","9,870"
2005,Tennessee,"375,203","325,766","49,437"
2005,Texas,"1,760,612","1,573,660","186,952"
2005,Utah,"286,148","262,684","23,464"
2005,Vermont,"51,494","42,674","8,820"
2005,Virginia,"594,406","498,480","95,926"
2005,Washington,"531,856","489,014","42,842"
2005,West Virginia,"129,840","110,313","19,527"
2005,Wisconsin,"446,424","382,787","63,637"
2005,Wyoming,"48,744","42,502","6,242"
2004,Total,"24,094,265","20,698,178","3,396,087"
2004,Alabama,"336,088","287,679","48,409"
2004,Alaska,"58,370","55,061","3,309"
2004,Arizona,"797,081","681,151","115,930"
2004,Arkansas,"181,619","165,699","15,920"
2004,California,"3,460,921","3,129,056","331,865"
2004,Colorado,"441,444","361,510","79,934"
2004,Connecticut,"229,209","185,256","43,953"
2004,Delaware,"63,206","53,036","10,170"
2004,District of Columbia,"130,282","82,722","47,560"
2004,Florida,"1,289,118","1,149,590","139,528"
2004,Georgia,"591,199","518,255","72,944"
2004,Hawaii,"93,089","81,187","11,902"
2004,Idaho,"108,450","91,430","17,020"
2004,Illinois,"1,261,466","1,073,751","187,715"
2004,Indiana,"482,742","409,322","73,420"
2004,Iowa,"291,699","255,112","36,587"
2004,Kansas,"285,699","246,321","39,378"
2004,Kentucky,"307,109","268,248","38,861"
2004,Louisiana,"330,977","285,754","45,223"
2004,Maine,"85,467","72,231","13,236"
2004,Maryland,"420,977","342,807","78,170"
2004,Massachusetts,"582,472","429,742","152,730"
2004,Michigan,"855,531","726,606","128,925"
2004,Minnesota,"463,190","367,475","95,715"
2004,Mississippi,"199,297","177,654","21,643"
2004,Missouri,"508,437","407,824","100,613"
2004,Montana,"76,177","67,628","8,549"
2004,Nebraska,"175,029","149,393","25,636"
2004,Nevada,"154,049","138,987","15,062"
2004,New Hampshire,"93,696","77,516","16,180"
2004,New Jersey,"503,843","431,086","72,757"
2004,New Mexico,"192,848","169,341","23,507"
2004,New York,"1,483,364","1,195,833","287,531"
2004,North Carolina,"610,174","542,899","67,275"
2004,North Dakota,"58,880","52,655","6,225"
2004,Ohio,"827,866","700,114","127,752"
2004,Oklahoma,"289,015","255,998","33,017"
2004,Oregon,"302,634","262,410","40,224"
2004,Pennsylvania,"891,114","729,833","161,281"
2004,Rhode Island,"103,606","87,722","15,884"
2004,South Carolina,"271,534","231,366","40,168"
2004,South Dakota,"63,256","53,980","9,276"
2004,Tennessee,"366,644","319,026","47,618"
2004,Texas,"1,723,325","1,532,840","190,485"
2004,Utah,"284,864","262,584","22,280"
2004,Vermont,"50,586","42,415","8,171"
2004,Virginia,"573,983","481,362","92,621"
2004,Washington,"525,535","483,486","42,049"
2004,West Virginia,"125,841","106,615","19,226"
2004,Wisconsin,"443,897","377,506","66,391"
2004,Wyoming,"47,366","41,104","6,262"
2003,Total,"23,793,871","20,512,436","3,281,435"
2003,Alabama,"332,325","287,434","44,891"
2003,Alaska,"58,173","55,130","3,043"
2003,Arizona,"682,985","597,913","85,072"
2003,Arkansas,"186,802","171,932","14,870"
2003,California,"3,705,782","3,374,974","330,808"
2003,Colorado,"424,935","353,348","71,587"
2003,Connecticut,"229,273","184,369","44,904"
2003,Delaware,"63,917","54,118","9,799"
2003,District of Columbia,"120,317","75,722","44,595"
2003,Florida,"1,231,958","1,101,211","130,747"
2003,Georgia,"557,448","487,569","69,879"
2003,Hawaii,"91,635","79,882","11,753"
2003,Idaho,"107,612","88,023","19,589"
2003,Illinois,"1,237,505","1,056,761","180,744"
2003,Indiana,"474,516","402,208","72,308"
2003,Iowa,"276,909","242,502","34,407"
2003,Kansas,"289,821","247,292","42,529"
2003,Kentucky,"310,163","269,634","40,529"
2003,Louisiana,"319,786","275,683","44,103"
2003,Maine,"85,303","71,878","13,425"
2003,Maryland,"411,716","335,264","76,452"
2003,Massachusetts,"582,196","427,964","154,232"
2003,Michigan,"853,677","722,467","131,210"
2003,Minnesota,"436,321","364,395","71,926"
2003,Mississippi,"196,042","175,097","20,945"
2003,Missouri,"489,535","393,803","95,732"
2003,Montana,"58,891","53,141","5,750"
2003,Nebraska,"174,738","149,295","25,443"
2003,Nevada,"146,352","132,208","14,144"
2003,New Hampshire,"94,606","77,044","17,562"
2003,New Jersey,"484,501","413,990","70,511"
2003,New Mexico,"179,884","158,305","21,579"
2003,New York,"1,474,786","1,184,110","290,676"
2003,North Carolina,"590,035","525,316","64,719"
2003,North Dakota,"54,991","49,477","5,514"
2003,Ohio,"824,612","696,778","127,834"
2003,Oklahoma,"281,418","247,446","33,972"
2003,Oregon,"306,905","266,350","40,555"
2003,Pennsylvania,"867,630","715,544","152,086"
2003,Rhode Island,"100,289","85,747","14,542"
2003,South Carolina,"269,712","225,934","43,778"
2003,South Dakota,"60,501","51,106","9,395"
2003,Tennessee,"352,221","307,414","44,807"
2003,Texas,"1,686,149","1,500,206","185,943"
2003,Utah,"271,429","250,097","21,332"
2003,Vermont,"49,506","41,829","7,677"
2003,Virginia,"572,044","480,282","91,762"
2003,Washington,"533,453","492,355","41,098"
2003,West Virginia,"123,355","104,400","18,955"
2003,Wisconsin,"432,265","366,808","65,457"
2003,Wyoming,"46,946","40,681","6,265"
2002,Total,"23,010,948","19,849,866","3,161,082"
2002,Alabama,"319,831","277,240","42,591"
2002,Alaska,"54,652","51,942","2,710"
2002,Arizona,"627,711","546,583","81,128"
2002,Arkansas,"178,098","163,305","14,793"
2002,California,"3,663,883","3,330,345","333,538"
2002,Colorado,"415,558","347,230","68,328"
2002,Connecticut,"224,898","180,626","44,272"
2002,Delaware,"62,286","53,011","9,275"
2002,District of Columbia,"115,015","71,965","43,050"
2002,Florida,"1,187,536","1,061,514","126,022"
2002,Georgia,"535,204","462,635","72,569"
2002,Hawaii,"91,225","78,426","12,799"
2002,Idaho,"99,063","83,006","16,057"
2002,Illinois,"1,216,389","1,029,917","186,472"
2002,Indiana,"461,338","393,380","67,958"
2002,Iowa,"261,263","228,836","32,427"
2002,Kansas,"286,136","242,015","44,121"
2002,Kentucky,"276,445","241,363","35,082"
2002,Louisiana,"312,640","271,748","40,892"
2002,Maine,"78,967","67,017","11,950"
2002,Maryland,"408,422","331,556","76,866"
2002,Massachusetts,"569,747","424,012","145,735"
2002,Michigan,"834,682","708,593","126,089"
2002,Minnesota,"415,547","353,654","61,893"
2002,Mississippi,"185,870","165,146","20,724"
2002,Missouri,"472,919","383,637","89,282"
2002,Montana,"58,144","52,800","5,344"
2002,Nebraska,"168,651","143,547","25,104"
2002,Nevada,"136,160","122,975","13,185"
2002,New Hampshire,"88,357","72,108","16,249"
2002,New Jersey,"481,586","415,253","66,333"
2002,New Mexico,"173,224","152,198","21,026"
2002,New York,"1,405,287","1,133,458","271,829"
2002,North Carolina,"554,073","493,927","60,146"
2002,North Dakota,"53,064","47,411","5,653"
2002,Ohio,"796,034","671,528","124,506"
2002,Oklahoma,"269,316","235,353","33,963"
2002,Oregon,"302,308","264,084","38,224"
2002,Pennsylvania,"826,394","681,640","144,754"
2002,Rhode Island,"99,352","84,896","14,456"
2002,South Carolina,"259,840","220,118","39,722"
2002,South Dakota,"60,206","49,937","10,269"
2002,Tennessee,"352,610","308,963","43,647"
2002,Texas,"1,608,736","1,432,277","176,459"
2002,Utah,"265,444","244,606","20,838"
2002,Vermont,"44,690","37,803","6,887"
2002,Virginia,"553,835","466,305","87,530"
2002,Washington,"508,213","470,286","37,927"
2002,West Virginia,"119,112","100,769","18,343"
2002,Wisconsin,"427,162","361,167","65,995"
2002,Wyoming,"43,825","37,755","6,070"

"This table presents data collected from Title IV institutions in the United States. Prior to 2009-10, the data include only Title IV primarily postsecondary institutions."
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), 12-month Enrollment component 2019-20 provisional data."
"This is the unduplicated 12-month enrollment  at institutions from July 1 of one year through June 30 of the next. Prior to 2010-11, institutions could choose to report on the 12-month period between July 1 and June 30 or September 1 and August 31."
